PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,1.0,2,4141,70.92151654189809,2.0007244626901715,12.071963293890365,0.9769024885786066,71.0,2.0,12.0,0.965936541557312
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.0,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,29.094311934251053,-7808.2307692307695,500.2307692307692,3407.153846153846,29.094311934251053
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.0,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,33.422843326221816,-8313.09090909091,500.3636363636364,3910.818181818182,33.422843326221816
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.0,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,25.16880404247957,-6853.941176470588,446.5882352941176,2935.6470588235293,25.16880404247957
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.5,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,27.0767183303833,-7808.2307692307695,500.2307692307692,3407.153846153846,27.0767183303833
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.5,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,31.136896870353006,-8313.09090909091,500.3636363636364,3910.818181818182,31.136896870353006
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,0.5,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,23.38700321141411,-6853.941176470588,446.5882352941176,2935.6470588235293,23.38700321141411
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,1.0,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,26.947585656092716,-7808.2307692307695,500.2307692307692,3407.153846153846,26.947585656092716
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,1.0,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,30.786439830606636,-8313.09090909091,500.3636363636364,3910.818181818182,30.786439830606636
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,0.0,1.0,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,23.20848486002754,-6853.941176470588,446.5882352941176,2935.6470588235293,23.20848486002754
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.0,0,25,-1870.36,8.68,1893.24,15.077921352386475,-2254.35,8.15,2282.0,18.20035046339035
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.0,1,27,-1747.7777777777778,9.666666666666666,1761.7777777777778,13.95218910994353,-2308.15,10.55,2314.2,18.346913278102875
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.0,2,34,-1424.6176470588234,7.911764705882353,1454.4117647058824,11.551600891001085,-1316.15,5.05,1371.7,10.950653433799744
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.5,0,5766,91.60041623309053,0.08099202219909817,8.670655567117587,0.0747705582649477,92.6,0.0,8.4,0.0743160247802734
